query_pocket,query_protein,target_pocket,target_protein,pocket_similarity_cosine,sequence_identity,fold_query,fold_target,evolutionary_type
PKT_P32573_9056,P32573,PKT_Q9NX58_100446,Q9NX58,0.98,0.133,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_P53145_407893,P53145,PKT_O75153_101315,O75153,0.9795,0.1393,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_Q9H1Y3_215420,Q9H1Y3,PKT_P38628_283751,P38628,0.9795,0.1867,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_P38132_6509,P38132,PKT_Q9UBK8_228570,Q9UBK8,0.9793,0.1729,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_Q76M96_21736,Q76M96,PKT_P34760_398874,P34760,0.9793,0.1783,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_Q8IZS5_60943,Q8IZS5,PKT_P14680_357373,P14680,0.9793,0.1692,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P10962_216871,P10962,PKT_P40890_305337,P40890,0.9792,0.1339,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_P40890_305337,P40890,PKT_P10962_216871,P10962,0.9792,0.1327,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_Q06412_266777,Q06412,PKT_Q06340_371264,Q06340,0.9791,0.1822,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P40054_108488,P40054,PKT_P14693_96959,P14693,0.979,0.1831,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P14693_96959,P14693,PKT_P40054_108488,P40054,0.979,0.1491,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P40018_45165,P40018,PKT_P32497_0000,P32497,0.979,0.1388,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_Q9Y275_5943,Q9Y275,PKT_Q6P4E1_101764,Q6P4E1,0.979,0.1397,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_P32628_156749,P32628,PKT_P48016_361163,P48016,0.9789,0.1894,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_P82933_172641,P82933,PKT_Q6P4E1_101764,Q6P4E1,0.9789,0.1702,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_P07260_43757,P07260,PKT_P43603_102092,P43603,0.9788,0.1748,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P07264_44748,P07264,PKT_P22082_311262,P22082,0.9788,0.1584,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P13856_249610,P13856,PKT_P32644_20898,P32644,0.9788,0.1833,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_P32644_20898,P32644,PKT_P13856_249610,P13856,0.9788,0.1748,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_Q12532_205192,Q12532,PKT_P15380_364554,P15380,0.9788,0.1585,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P53378_115400,P53378,PKT_P53973_141508,P53973,0.9788,0.1403,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P53973_141508,P53973,PKT_P53378_115400,P53378,0.9788,0.1538,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P43603_102092,P43603,PKT_P07260_43757,P07260,0.9788,0.1233,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P22082_311262,P22082,PKT_P07264_44748,P07264,0.9788,0.1415,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_Q9NVX7_90975,Q9NVX7,PKT_P15380_364554,P15380,0.9788,0.1463,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_Q7Z340_29076,Q7Z340,PKT_O95178_318204,O95178,0.9788,0.1943,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_O95178_318204,O95178,PKT_Q7Z340_29076,Q7Z340,0.9788,0.135,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_P53335_283259,P53335,PKT_Q7Z398_139323,Q7Z398,0.9787,0.1637,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P40416_224722,P40416,PKT_P26786_366043,P26786,0.9787,0.1318,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_Q08179_304538,Q08179,PKT_P30952_256001,P30952,0.9787,0.1373,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P00127_410832,P00127,PKT_Q9H1C0_290001,Q9H1C0,0.9787,0.1256,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P39547_36424,P39547,PKT_O75153_101315,O75153,0.9787,0.1314,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P53309_190550,P53309,PKT_Q8IZS5_60943,Q8IZS5,0.9787,0.1378,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P04456_132089,P04456,PKT_O60522_234860,O60522,0.9787,0.1876,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_P15891_253407,P15891,PKT_Q86SG5_144443,Q86SG5,0.9787,0.1882,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_P17214_261038,P17214,PKT_Q12400_114867,Q12400,0.9787,0.1407,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_Q9C0A1_146676,Q9C0A1,PKT_P40353_60545,P40353,0.9787,0.1544,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_Q9NRE1_36182,Q9NRE1,PKT_O95178_318204,O95178,0.9787,0.1739,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_O60522_234860,O60522,PKT_P04456_132089,P04456,0.9787,0.1363,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_Q7Z398_139323,Q7Z398,PKT_P53335_283259,P53335,0.9787,0.1437,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_Q86SG5_144443,Q86SG5,PKT_P15891_253407,P15891,0.9787,0.1242,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_Q9H1C0_290001,Q9H1C0,PKT_P00127_410832,P00127,0.9787,0.1469,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P39998_105491,P39998,PKT_P19454_404611,P19454,0.9786,0.1239,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P53267_373098,P53267,PKT_Q06217_88276,Q06217,0.9786,0.1266,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_Q06217_88276,Q06217,PKT_P53267_373098,P53267,0.9786,0.1446,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P19454_404611,P19454,PKT_P39998_105491,P39998,0.9786,0.1888,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P38084_247799,P38084,PKT_Q9H2D1_225125,Q9H2D1,0.9786,0.1662,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P46972_28660,P46972,PKT_P14064_235251,P14064,0.9786,0.1953,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_P33760_289431,P33760,PKT_Q9H6S1_284633,Q9H6S1,0.9786,0.1226,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_Q12386_75237,Q12386,PKT_P40851_386113,P40851,0.9786,0.1321,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_P14064_235251,P14064,PKT_P46972_28660,P46972,0.9786,0.127,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_Q01519_32859,Q01519,PKT_Q76M96_21736,Q76M96,0.9786,0.1346,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_Q9H4B4_254586,Q9H4B4,PKT_Q96GC5_237116,Q96GC5,0.9786,0.1692,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_Q9WJR5_431622,Q9WJR5,PKT_P15380_364554,P15380,0.9786,0.1474,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_Q9Y5K5_119324,Q9Y5K5,PKT_Q9NW68_2491,Q9NW68,0.9786,0.1846,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_Q5VTH2_342736,Q5VTH2,PKT_A6XGL0_282894,A6XGL0,0.9786,0.1415,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_Q9H4A4_300131,Q9H4A4,PKT_Q00947_428022,Q00947,0.9786,0.1627,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_P38310_23780,P38310,PKT_Q12524_203597,Q12524,0.9785,0.165,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P22804_324177,P22804,PKT_P12945_228275,P12945,0.9785,0.139,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P32461_418520,P32461,PKT_Q07657_11092,Q07657,0.9785,0.1429,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P40453_225662,P40453,PKT_P53256_186462,P53256,0.9785,0.1804,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P53833_394714,P53833,PKT_P23254_330252,P23254,0.9785,0.1417,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_Q12524_203597,Q12524,PKT_P38310_23780,P38310,0.9785,0.1234,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P04840_247524,P04840,PKT_P53267_373098,P53267,0.9785,0.1955,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P47170_54009,P47170,PKT_P16550_259285,P16550,0.9785,0.1218,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_P53256_186462,P53256,PKT_P40453_225662,P40453,0.9785,0.1879,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P06242_152820,P06242,PKT_O94772_310898,O94772,0.9785,0.1247,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P12945_228275,P12945,PKT_P22804_324177,P22804,0.9785,0.1508,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P16550_259285,P16550,PKT_P47170_54009,P47170,0.9785,0.1886,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_P36117_104989,P36117,PKT_Q16589_291768,Q16589,0.9785,0.1548,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_Q2QL34_189355,Q2QL34,PKT_Q86WN2_154512,Q86WN2,0.9785,0.1786,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_P07834_50607,P07834,PKT_Q9H2Y9_294270,Q9H2Y9,0.9784,0.1582,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P14747_111572,P14747,PKT_O75153_101315,O75153,0.9784,0.19,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P33775_373684,P33775,PKT_Q8TDN6_112104,Q8TDN6,0.9784,0.1968,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P36142_429779,P36142,PKT_P05750_139883,P05750,0.9784,0.1522,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P41921_174402,P41921,PKT_Q06648_150604,Q06648,0.9784,0.192,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_P47076_212878,P47076,PKT_Q04048_98245,Q04048,0.9784,0.124,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P0CX55_230890,P0CX55,PKT_Q504Y3_325003,Q504Y3,0.9784,0.1586,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_P38071_106132,P38071,PKT_Q96IQ7_133373,Q96IQ7,0.9784,0.1395,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_P38264_122884,P38264,PKT_O75153_101315,O75153,0.9784,0.1801,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P52553_344818,P52553,PKT_O60732_95523,O60732,0.9784,0.1982,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_P15180_101281,P15180,PKT_P39524_229098,P39524,0.9784,0.166,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P22146_131178,P22146,PKT_P13574_93915,P13574,0.9784,0.1448,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_P36088_333008,P36088,PKT_Q76M96_21736,Q76M96,0.9784,0.1961,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P40465_68659,P40465,PKT_Q9H6D8_305429,Q9H6D8,0.9784,0.1339,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_P54786_236037,P54786,PKT_Q03705_288487,Q03705,0.9784,0.1929,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_Q03944_304858,Q03944,PKT_Q9NRX4_45649,Q9NRX4,0.9784,0.1628,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_Q04461_318570,Q04461,PKT_Q9Y5Y2_136449,Q9Y5Y2,0.9784,0.1308,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_P07284_180204,P07284,PKT_O75153_101315,O75153,0.9784,0.1772,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P39524_229098,P39524,PKT_P15180_101281,P15180,0.9784,0.1861,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P42939_322910,P42939,PKT_O95178_318204,O95178,0.9784,0.1746,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_P43602_330517,P43602,PKT_P40453_225662,P40453,0.9784,0.1555,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_Q06648_150604,Q06648,PKT_P41921_174402,P41921,0.9784,0.1953,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_Q9BYT8_103229,Q9BYT8,PKT_Q86WS3_155117,Q86WS3,0.9784,0.1813,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_Q9NRX4_45649,Q9NRX4,PKT_Q03944_304858,Q03944,0.9784,0.1486,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_Q9UPR5_412091,Q9UPR5,PKT_P40054_108488,P40054,0.9784,0.1262,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_Q9Y5Y2_136449,Q9Y5Y2,PKT_Q04461_318570,Q04461,0.9784,0.1837,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_Q4U2R6_320088,Q4U2R6,PKT_Q9P2E9_198087,Q9P2E9,0.9784,0.1789,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_Q504Y3_325003,Q504Y3,PKT_P0CX55_230890,P0CX55,0.9784,0.1495,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_Q8TDN6_112104,Q8TDN6,PKT_P33775_373684,P33775,0.9784,0.1602,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_Q96IQ7_133373,Q96IQ7,PKT_P38071_106132,P38071,0.9784,0.195,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_Q9HCC6_308904,Q9HCC6,PKT_Q9UKJ0_21146,Q9UKJ0,0.9784,0.1558,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_Q9UKJ0_21146,Q9UKJ0,PKT_Q9HCC6_308904,Q9HCC6,0.9784,0.1261,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_P32769_336719,P32769,PKT_P40204_263739,P40204,0.9783,0.1971,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_Q12400_114444,Q12400,PKT_P0CT04_349682,P0CT04,0.9783,0.1746,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P38822_156925,P38822,PKT_P04433_123888,P04433,0.9783,0.1603,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_Q12318_177761,Q12318,PKT_P47076_212878,P47076,0.9783,0.1825,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P38125_255463,P38125,PKT_P37297_239615,P37297,0.9783,0.1867,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P52917_73062,P52917,PKT_Q9BXU1_71789,Q9BXU1,0.9783,0.1231,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_Q06440_267827,Q06440,PKT_P53840_208595,P53840,0.9783,0.174,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_Q12009_332340,Q12009,PKT_P23254_328942,P23254,0.9783,0.1526,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P43603_102754,P43603,PKT_P22804_324177,P22804,0.9783,0.16,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_P53840_208595,P53840,PKT_Q06440_267827,Q06440,0.9783,0.161,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_P21268_293028,P21268,PKT_Q9NRX4_45649,Q9NRX4,0.9783,0.1965,Zinc_Metallo,Zinc_Metallo,Extreme Sequence Divergence
PKT_Q9BXU1_71789,Q9BXU1,PKT_P52917_73062,P52917,0.9783,0.1631,Rossmann_NAD,Rossmann_NAD,Extreme Sequence Divergence
PKT_Q9H4Z3_269760,Q9H4Z3,PKT_P40453_225662,P40453,0.9783,0.1364,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_Q9UKC9_328700,Q9UKC9,PKT_Q07657_11092,Q07657,0.9783,0.1463,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_Q9UMX9_391208,Q9UMX9,PKT_P40204_263739,P40204,0.9783,0.1496,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
PKT_Q6IAN0_96765,Q6IAN0,PKT_O75153_101315,O75153,0.9783,0.1319,Kinase_ATP,Kinase_ATP,Extreme Sequence Divergence
PKT_P04433_123888,P04433,PKT_P38822_156925,P38822,0.9783,0.158,Protease_Triad,Protease_Triad,Extreme Sequence Divergence
