seq_identity,pocket_similarity,regime
10.43,0.9399,Twilight_Zone
18.79,0.9708,Twilight_Zone
15.61,0.9613,Twilight_Zone
13.68,0.919,Twilight_Zone
7.26,0.955,Twilight_Zone
7.26,0.9679,Twilight_Zone
5.84,0.9453,Twilight_Zone
17.56,0.918,Twilight_Zone
13.72,0.9747,Twilight_Zone
15.27,0.9263,Twilight_Zone
5.3,0.9337,Twilight_Zone
19.06,0.9604,Twilight_Zone
17.07,0.9773,Twilight_Zone
8.08,0.9782,Twilight_Zone
7.64,0.939,Twilight_Zone
7.66,0.9761,Twilight_Zone
9.41,0.9427,Twilight_Zone
12.61,0.9483,Twilight_Zone
11.26,0.938,Twilight_Zone
9.22,0.9737,Twilight_Zone
13.87,0.8917,Twilight_Zone
7.02,0.942,Twilight_Zone
9.24,0.9749,Twilight_Zone
10.31,0.9598,Twilight_Zone
11.61,0.9841,Twilight_Zone
16.39,0.9714,Twilight_Zone
7.9,0.9407,Twilight_Zone
12.46,0.9703,Twilight_Zone
13.59,0.9743,Twilight_Zone
5.67,0.9159,Twilight_Zone
13.81,0.9373,Twilight_Zone
7.47,0.9336,Twilight_Zone
5.94,0.9776,Twilight_Zone
18.76,0.9838,Twilight_Zone
19.0,0.9835,Twilight_Zone
16.72,0.9285,Twilight_Zone
9.42,0.9632,Twilight_Zone
6.42,0.9822,Twilight_Zone
14.92,0.938,Twilight_Zone
11.38,0.9692,Twilight_Zone
6.77,0.9241,Twilight_Zone
12.18,0.9566,Twilight_Zone
5.5,0.9586,Twilight_Zone
18.19,0.9513,Twilight_Zone
8.75,0.9635,Twilight_Zone
14.61,0.9451,Twilight_Zone
9.52,0.965,Twilight_Zone
12.54,0.9602,Twilight_Zone
12.93,0.886,Twilight_Zone
7.68,0.9491,Twilight_Zone
19.06,0.972,Twilight_Zone
16.24,0.9656,Twilight_Zone
18.62,0.969,Twilight_Zone
17.97,0.9669,Twilight_Zone
13.67,0.9429,Twilight_Zone
18.37,0.9719,Twilight_Zone
6.28,0.9512,Twilight_Zone
7.84,0.965,Twilight_Zone
5.66,0.9604,Twilight_Zone
9.72,0.9728,Twilight_Zone
10.64,0.9434,Twilight_Zone
8.93,0.9563,Twilight_Zone
17.02,0.9427,Twilight_Zone
10.17,0.9794,Twilight_Zone
9.07,0.9799,Twilight_Zone
12.87,0.9392,Twilight_Zone
7.04,0.9127,Twilight_Zone
16.63,0.929,Twilight_Zone
6.08,0.8823,Twilight_Zone
19.31,0.972,Twilight_Zone
16.2,0.8867,Twilight_Zone
7.88,0.9215,Twilight_Zone
5.08,0.9533,Twilight_Zone
